motion_congruent,motion_incongruent,motion_no,snd_congruent,snd_incongruent,snd_no
653.636370370371,658.394886243387,634.912186813187,404.113725,420.792330140485,439.796352873563
608.752082417582,614.033336904762,632.817283333334,459.90282247765,552.83798275862,485.198110714285
620.018568965517,636.252583333334,651.296535714285,446.536035714286,435.396074074074,471.588810344827
658.347829310345,723.523583333333,700.792017241379,577.464142528735,596.376664367816,605.168039080459
700.115952380952,707.995957142858,712.297120689655,673.989447586207,650.468407407408,692.863970899471
579.508376190476,597.284549876847,580.790547586207,473.260586206897,442.356688505747,485.263995977012
715.039872413793,702.083650574713,714.567467816091,492.141966666666,570.731120689655,547.724722906404
664.552034482758,679.675697089947,682.88847962963,570.727105172414,584.729360919541,553.441612684729
667.373327586207,672.728055555556,694.599896551724,632.813547619048,643.805439613527,630.343582298136
724.337375615763,743.166013218391,727.543102216749,584.145680418719,651.621888227514,589.052633333333
619.464752136752,612.030230884558,609.547215197957,406.24026724138,417.602576970443,416.67059544335
557.871990740741,553.642598522167,579.128611904762,438.693553571428,456.426188095238,444.662168719212
559.899364137931,579.501904558404,592.755087179488,460.303866047745,464.782374338624,467.311181034483
684.6834,665.734637931034,665.4035,575.489293103448,589.467728571429,607.82825
615.36348452381,631.470809770115,643.72561954023,612.26005,592.510616666666,603.860212068965
667.698142857143,660.437240740741,712.081066428572,638.953172413793,706.182423846154,635.226333333333
698.919586206896,668.87377816092,691.831389778325,658.693533333333,610.4545,683.453666666667
813.548873563219,829.803440229885,827.519936904762,737.763527011494,977.439249425287,732.704620689655
760.556743842365,767.252663793103,778.638597619047,651.327896551725,692.771889285714,693.23855
670.830466666667,676.848666666667,683.101467241379,495.125333333334,485.829160714286,480.210517857142
599.303266666667,582.950948275862,581.944120689656,396.020526436782,397.146659770115,388.909325
654.214172413793,693.526039285714,657.865310344828,667.904706896551,829.814821481481,739.22924137931
688.049534482758,692.929500574713,728.865607142857,697.704923563218,751.065,712.996311904762
593.251660344828,598.30892816092,589.770990476191,619.402316666667,616.43143045977,615.209762068966
598.536210344828,609.776396551724,625.0851,556.520422988506,588.970547619048,551.040474137931
640.422826666666,645.846161494253,671.918294950739,540.72872541507,503.346918803419,586.348495977011
650.4332,663.483472619048,675.589997126437,559.602101600986,511.011471674876,562.803655172414
661.004384852217,668.238034482759,695.522075862069,563.134370689655,580.917243333334,591.174200574713
669.602046428571,645.709712820513,663.469288633461,451.675390394088,465.222724137931,446.640753846154
606.914765394089,642.031107142857,639.236185632184,435.340210591133,469.311916666666,463.533435057471
